title,brand,normal_price,low_price,high_price,oferta,categoria1,categoria2,datetime,Atributos,link,sin_stock,page
Pasta dental Ultra Blanco 3 un. 90 g c/u,Colgate,0,$2.590,$3.249,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/crema-dental-colgate-ultra-blanco-3-unid-90-g-c-u/p,0,1
Pasta dental triple 3 un. 90 g,Pepsodent,0,$2.790,$2.979,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/pasta-de-dientes-pepsodent-90-g-cu-3-unid-tri/p,0,1
Jabón líquido Dermo Care avena doypack 750 ml,Simond'S,$1.549,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jab-n-simond-s-dermo-care-avena-doypack-750-ml/p,0,1
Jabón líquido original 700 ml,Dove,0,$2.659,$3.549,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jabon-liquido-cremoso-dove-recarga-700-ml/p,0,1
Pasta dental Xtra Whitening 3 un. 90 g,Pepsodent,0,$2.135,$2.979,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/pasta-de-dientes-pepsodent-90-g-cu-3-unid-xtr/p,0,1
Jabón líquido cremoso doypack 1.5 L,Bellekiss,$1.859,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jabon-liquido-cremoso-doypack-1-5-l/p,0,1
Jabón barra original 3 un. de 90 g,Dove,0,$2.659,$3.659,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jab-n-en-barra-dove-original-90-g-3-unid/p,0,1
Jabón Dermo Care Hygienic 750 ml,Simond'S,$1.549,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jab-n-simond-s-dermo-care-hygienic-750-ml/p,0,1
Jabón líquido avena doypack 1.5 L,Bellekiss,$1.859,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jabon-liquido-avena-doypack-1-5-l-1836248/p,0,1
Toallas higiénicas Nosotras Buenas Noches normal 20 un.,Nosotras,$2.890,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/toallas-femeninas-nosotras-buenas-noches-suave-20-unid/p,0,1
Pasta dental Triple Acción menta original 3 un. 75 ml c/u,Colgate,$3.490,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/pasta-de-dientes-colgate-pack-3-unid-100-g-cu/p,0,1
Shampoo Hidra Hialurónico 370 ml,Elvive,0,$3.699,0,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/shampoo-hidra-hialuronico-370-ml-1891508/p,0,1
Jabón líquido coco vainilla doypack 1.5 L,Bellekiss,$1.859,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jabon-liquido-coco-vainilla-doypack-1-5-l-1836247/p,0,1
Shampoo Manzanilla doypack 750 ml,Ballerina,0,$1.250,$1.659,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/shampoo-ballerina-manzanilla-1-l/p,0,1
Shampoo 400 ml + Acondicionador Regeneración Extrema 400 ml,Dove,0,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/shampoo-dove-reconstruccion-400-ml-balsamo-400-ml/p,Producto sin stock,1
Pack 3 un. Pasta dental sabor menta 378 g,Aquafresh,0,$2.792,$3.490,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/pack-3-un-pasta-dental-sabor-menta-378-g-1878045/p,0,1
Toallas higiénicas Naturella con manzanilla 8 un.,Naturella,$999,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/toallas-higienicas-con-manzanilla-8-un-1677855/p,0,1
Toallas higiénicas Naturella Cuidado Nocturno XL 8 un.,Naturella,$1.179,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/toallas-femeninas-naturella-nocturna-xl-con-alas-8-unid/p,0,1
Pasta dental Max White crystal mint 3 un. 75 ml,Colgate,$4.499,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/pasta-dental-max-white-crystal-mint-3-un-75-ml-c-u-1663801/p,0,1
Jabón líquido Dermo Care avena 1 L,Simond'S,$2.090,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jabon-liquido-simonds-dermocare-avena-1l/p,0,1
Toallas higiénicas Nosotras Normal suave 10 un.,Nosotras,$999,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/toallas-femeninas-nosotras-normal-con-alas-suave-10-unid/p,0,1
Shampoo Manzana y Papaya 750 ml,Familand,$1.659,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/shampoo-familand-750-ml-manzana-y-papaya-controla-raices-y-cabellos-grasos-498230001/p,0,1
Jabon líquido 700 ml,Elite,0,$2.099,0,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/jabon-liquido-700-ml-1874080/p,0,1
Shampoo Vitaminados Frescura 350 ml,Fructis,0,$2.989,0,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/shampoo-fructis-frescura-vitaminada-350-ml/p,0,1
Toallas higiénicas Always Seca Noche 16 un.,Always,$2.849,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/toallas-higienicas-seca-noche-16-un-276554/p,0,1
Pétalos desmaquilladores,Family Care,0,0,0,0,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/petalos-desmaquilladores-1793564/p,Producto sin stock,1
Desodorante Protection 5 spray 150 ml,BiO,0,$1.949,$2.599,Oferta,supermercados,belleza-y-cuidado-personal,2022-07-16 22:11:26.364649,1 un,https://www.santaisabel.cl/desodorante-bi-o-protection-5-spray-mujer-1450137/p,0,1
