title,brand,normal_price,low_price,high_price,oferta,categoria1,categoria2,datetime,Atributos,link,sin_stock,page
Atún lomitos en agua 104 g drenado,Cuisine & Co,$1.099,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/atun-lomitos-en-agua-104-g-drenado-cuisine-and-co-1828067/p,0,1
Jurel al natural 300 g drenado,Cuisine & Co,$1.549,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/jurel-al-natural-300-g-drenado-cuisine-and-co-1841074/p,0,1
Leche Condensada Leche Sur 397g,Nestlé,$1.319,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/leche-condensada-leche-sur-lata-397-g-azucarada/p,0,1
Jurel al natural lata 300 g drenado,San José,$1.799,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/jurel-al-natural-lata-300-g-drenado-266192/p,0,1
Compota manzana 90 g,Cuisine & Co,$379,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/compota-manzana-90-g-cuisine-and-co-1821386/p,0,1
Atún lomitos en agua 104 g drenado,Robinson Crusoe,0,$1.299,$1.599,Oferta,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/atun-robinson-crusoe-lomitos-en-agua-light-104-g-drenado/p,0,1
Leche condensada 397 g,Cuisine & Co,0,$999,$1.129,Oferta,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/leche-condensada-397-g-cuisine-and-co-1858600/p,0,1
Compota pera manzana 90 g,Cuisine & Co,$379,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/compota-pera-90-g-cuisine-and-co-1821387/p,0,1
Atún lomitos en aceite 104 g drenado,Robinson Crusoe,0,$1.299,$1.599,Oferta,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/atun-robinson-crusoe-lomitos-en-aceite-104-g-drenado/p,0,1
Champiñones laminados 230 g drenado,Cuisine & Co,$1.099,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/champinones-laminados-230-g-drenado-cuisine-and-co-1796077/p,0,1
Atún lomitos ahumados 104 g drenado,Robinson Crusoe,0,$1.299,$1.599,Oferta,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/atun-robinson-crusoe-lomitos-ahumados-104-g-drenado/p,0,1
Leche Condensada Nestlé 397g,Nestlé,$1.639,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/leche-condensada-nestle-lata-397-g/p,0,1
Atún lomitos agua 104 g drenado,Angelmo,$1.259,0,0,0,despensa,conservas,2022-07-16 19:41:59.974480,1 un,https://www.santaisabel.cl/atun-lomitos-en-agua-104-g-drenado-2/p,0,1
