title,brand,normal_price,low_price,high_price,oferta,categoria1,categoria2,datetime,Atributos,link,sin_stock,page
Aceite Vegetal 900 ml,Máxima MP,0,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-vegetal-900-ml-1067043/p,Producto sin stock,1
Aceite vegetal libre de colesterol 900 ml,Cuisine & Co,0,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-vegetal-libre-de-colesterol-900-ml-cuisine-and-co-1800913/p,Producto sin stock,1
Sal fina 1 kg,Lobos,$399,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/sal-fina-lobos-1-kg/p,0,1
Aceite de canola 1 L,Cuisine & Co,$3.299,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-de-canola-1-l-cuisine-and-co-1749577/p,0,1
Aceite maravilla 900 ml,Cuisine & Co,$2.949,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-maravilla-900-ml-cuisine-and-co-1800914/p,0,1
Aceite vegetal 1 L,Belmont,$3.449,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-vegetal-belmont-1-l-0-colesterol/p,0,1
Aceite de oliva extra virgen 500 ml,Cuisine & Co,$4.399,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-de-oliva-extra-virgen-500-ml-cuisine-and-co-1885224/p,0,1
Aceite de maravilla 1 L,Chef,$3.929,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-maravilla-chef-1-l/p,0,1
Aceite de Maravilla 900 ml,Natura,$3.529,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-maravilla-natura-900-ml/p,0,1
Ajo en polvo 15 g,Cuisine & Co,0,$151,$189,Oferta,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/ajo-en-polvo-15-g-cuisine-and-co-1770128/p,0,1
Aceite de oliva extra virgen 1 L,Cuisine & Co,$7.490,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-de-oliva-extra-virgen-1-l-cuisine-and-co-1885223/p,0,1
Aceite Vegetal 1 L,Miraflores,$2.969,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-vegetal-miraflores-1-l-0-colesterol/p,0,1
Sal de Mar fina 1 kg,Cuisine & Co,$589,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/sal-de-mar-fina-1-kg-cuisine-and-co-1867344/p,0,1
Caldo Maggi sabor Gallina 88g 8 tabletas,Maggi,$839,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/caldo-de-gallina-maggi-88-g-caja-8-unid/p,0,1
Sucedáneo de limón 500 ml,Cuisine & Co,$689,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/sucedaneo-de-limon-500-ml-cuisine-and-co-1878038/p,0,1
Orégano entero 50 g,Gourmet,$719,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/oregano-entero-gourmet-50-g/p,0,1
Canela entera 15 g,Cuisine & Co,0,$431,$539,Oferta,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/canela-entera-15-g-cuisine-and-co-1770125/p,0,1
Caldo Maggi sabor Carne 80g 8 tabletas,Maggi,$839,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/caldo-de-carne-maggi-80-g-caja-8-unid/p,0,1
Caldo Maggi de Verduras 80g 8 tabletas,Maggi,$839,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/caldo-de-verduras-maggi-80-g-caja-8-unid/p,0,1
Bicarbonato 30 g,Cuisine & Co,0,$87,$109,Oferta,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/bicarbonato-30-g-cuisine-and-co-1770131/p,0,1
Aceite de oliva extra virgen 250 ml,Cuisine & Co,$2.629,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-de-oliva-extra-virgen-250-ml-cuisine-and-co-1885225/p,0,1
Caldo Maggi sabor Costilla 80g 8 tabletas,Maggi,$999,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/caldo-de-costilla-maggi-8-unid/p,0,1
Aceite de Maravilla libre de colesterol 1.5 L,Natura,$5.399,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-de-maravilla-natura-1-5-l-0-colesterol/p,0,1
Laurel en hojas 5 g,Cuisine & Co,0,$263,$329,Oferta,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/laurel-en-hojas-5-g-cuisine-and-co-1770136/p,0,1
"Caldo Gourmet 6 unid, Polvo, Sabor Pollo",Gourmet,0,$599,0,Oferta,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/caldo-gourmet-6-unid-polvo-sabor-pollo-1587259/p,0,1
Aceite de Oliva Tradizione 1 L,Talliani,$8.649,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/aceite-de-oliva-talliani-botella-1-l/p,0,1
Ajo en polvo sobre 15 g,Gourmet,$229,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/ajo-en-polvo-gourmet-sobre-15-g/p,0,1
Vinagre de vino rosado 500 ml,Cuisine & Co,$789,0,0,0,despensa,aceites-sal-y-condimentos,2022-07-16 20:20:00.576384,1 un,https://www.santaisabel.cl/vinagre-vino-tinto-500-ml-cuisine-and-co-1878036/p,0,1
